mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 341,"c(1045, 988, 977, 427, 836)",0.2,left,ECT,"c(""ECT6b"", ""ECT5"", ""ECT6a"", ""ECT2/3"", ""ECT1"")",WT,mPFF,F,pSyn,0.000584658,0,0.000584658,0
IM 331,1092,0.2,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 334,1092,0.2,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 338,1092,0.2,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 341,1092,0.2,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(1121, 20, 139, 52, 28)",0.2,left,ENTl,"c(""ENTl1"", ""ENTl2"", ""ENTl5"", ""ENTl3"", ""ENTl6a"")",WT,mPFF,M,pSyn,1.78E-05,0,1.78E-05,0
IM 334,"c(20, 52, 1121, 139, 28)",0.2,left,ENTl,"c(""ENTl2"", ""ENTl3"", ""ENTl1"", ""ENTl5"", ""ENTl6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(28, 1121, 139, 20, 52)",0.2,left,ENTl,"c(""ENTl6a"", ""ENTl1"", ""ENTl5"", ""ENTl2"", ""ENTl3"")",WT,mPFF,M,pSyn,2.26E-06,0,2.26E-06,0
IM 341,"c(52, 139, 28, 1121, 20)",0.2,left,ENTl,"c(""ENTl3"", ""ENTl5"", ""ENTl6a"", ""ENTl1"", ""ENTl2"")",WT,mPFF,F,pSyn,0.000297712,0,0.000297712,0
IM 331,"c(543, 526, 727, 743, 664)",0.2,left,ENTm,"c(""ENTm2"", ""ENTm1"", ""ENTm5"", ""ENTm6"", ""ENTm3"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(743, 543, 526, 727, 664)",0.2,left,ENTm,"c(""ENTm6"", ""ENTm2"", ""ENTm1"", ""ENTm5"", ""ENTm3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(664, 526, 743, 727, 543)",0.2,left,ENTm,"c(""ENTm3"", ""ENTm1"", ""ENTm6"", ""ENTm5"", ""ENTm2"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(543, 526, 727, 743, 664)",0.2,left,ENTm,"c(""ENTm2"", ""ENTm1"", ""ENTm5"", ""ENTm6"", ""ENTm3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(952, 966)",0.2,left,EP,"c(""EPd"", ""EPv"")",WT,mPFF,M,pSyn,0.000680667,0,0.000680667,0
IM 334,"c(966, 952)",0.2,left,EP,"c(""EPv"", ""EPd"")",WT,mPFF,F,pSyn,4.90E-05,0,4.90E-05,0
IM 338,"c(966, 952)",0.2,left,EP,"c(""EPv"", ""EPd"")",WT,mPFF,M,pSyn,9.26E-05,0,9.26E-05,0
IM 341,"c(952, 966)",0.2,left,EP,"c(""EPd"", ""EPv"")",WT,mPFF,F,pSyn,0.00096646,0,0.00096646,0
