mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 137,"c(456, 759, 643, 696, 249, 791)",0.5,left,AUDpo,"c(""AUDpo6b"", ""AUDpo4"", ""AUDpo2/3"", ""AUDpo1"", ""AUDpo6a"", ""AUDpo5"")",WT,mPFF,M,pSyn,0.002361076,0,0.002361076,0
IM 138,"c(643, 791, 456, 759, 696, 249)",0.5,left,AUDpo,"c(""AUDpo2/3"", ""AUDpo5"", ""AUDpo6b"", ""AUDpo4"", ""AUDpo1"", ""AUDpo6a"")",WT,mPFF,M,pSyn,0.000294127,0,0.000294127,0
IM 139,"c(249, 696, 456, 791, 643, 759)",0.5,left,AUDpo,"c(""AUDpo6a"", ""AUDpo1"", ""AUDpo6b"", ""AUDpo5"", ""AUDpo2/3"", ""AUDpo4"")",WT,mPFF,M,pSyn,0,0,0,0
IM 140,"c(759, 643, 456, 249, 791, 696)",0.5,left,AUDpo,"c(""AUDpo4"", ""AUDpo2/3"", ""AUDpo6b"", ""AUDpo6a"", ""AUDpo5"", ""AUDpo1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(1023, 520, 959, 598, 990, 755)",0.5,left,AUDv,"c(""AUDv5"", ""AUDv6a"", ""AUDv1"", ""AUDv6b"", ""AUDv4"", ""AUDv2/3"")",WT,mPFF,F,pSyn,0.00148808,0,0.00148808,0
IM 134,"c(755, 520, 959, 990, 1023, 598)",0.5,left,AUDv,"c(""AUDv2/3"", ""AUDv6a"", ""AUDv1"", ""AUDv4"", ""AUDv5"", ""AUDv6b"")",WT,mPFF,F,pSyn,0.002823631,0,0.002823631,0
IM 135,"c(755, 959, 1023, 990, 598, 520)",0.5,left,AUDv,"c(""AUDv2/3"", ""AUDv1"", ""AUDv5"", ""AUDv4"", ""AUDv6b"", ""AUDv6a"")",WT,mPFF,F,pSyn,0.000267005,0,0.000267005,0
IM 136,"c(520, 755, 598, 990, 959, 1023)",0.5,left,AUDv,"c(""AUDv6a"", ""AUDv2/3"", ""AUDv6b"", ""AUDv4"", ""AUDv1"", ""AUDv5"")",WT,mPFF,F,pSyn,0.000897808,0,0.000897808,0
IM 137,"c(959, 520, 990, 598, 1023, 755)",0.5,left,AUDv,"c(""AUDv1"", ""AUDv6a"", ""AUDv4"", ""AUDv6b"", ""AUDv5"", ""AUDv2/3"")",WT,mPFF,M,pSyn,0.00134906,0,0.00134906,0
IM 138,"c(598, 959, 1023, 520, 990, 755)",0.5,left,AUDv,"c(""AUDv6b"", ""AUDv1"", ""AUDv5"", ""AUDv6a"", ""AUDv4"", ""AUDv2/3"")",WT,mPFF,M,pSyn,0.003995785,0,0.003995785,0
IM 139,"c(520, 990, 598, 959, 1023, 755)",0.5,left,AUDv,"c(""AUDv6a"", ""AUDv4"", ""AUDv6b"", ""AUDv1"", ""AUDv5"", ""AUDv2/3"")",WT,mPFF,M,pSyn,0.002293377,0,0.002293377,0
IM 140,"c(990, 598, 755, 1023, 959, 520)",0.5,left,AUDv,"c(""AUDv4"", ""AUDv6b"", ""AUDv2/3"", ""AUDv5"", ""AUDv1"", ""AUDv6a"")",WT,mPFF,M,pSyn,0.002464033,0,0.002464033,0
IM 133,482,0.5,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 134,482,0.5,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 135,482,0.5,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 136,482,0.5,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 137,482,0.5,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 138,482,0.5,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 139,482,0.5,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 140,482,0.5,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(451, 303, 311)",0.5,left,BLA,"c(""BLAv"", ""BLAa"", ""BLAp"")",WT,mPFF,F,pSyn,0.039613536,0,0.039613536,0
IM 134,"c(311, 451, 303)",0.5,left,BLA,"c(""BLAp"", ""BLAv"", ""BLAa"")",WT,mPFF,F,pSyn,0.054154461,0.019474515,0.034679946,3.022481735
IM 135,"c(303, 451, 311)",0.5,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,0.043819428,0.009953054,0.033866374,1.093092126
IM 136,"c(303, 451, 311)",0.5,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,0.020530596,0.004707779,0.015822817,0.820598696
IM 137,"c(311, 451, 303)",0.5,left,BLA,"c(""BLAp"", ""BLAv"", ""BLAa"")",WT,mPFF,M,pSyn,0.006825043,0,0.006825043,0
IM 138,"c(311, 303, 451)",0.5,left,BLA,"c(""BLAp"", ""BLAa"", ""BLAv"")",WT,mPFF,M,pSyn,0.047955768,0.011708364,0.036247405,2.328258995
IM 139,"c(451, 303, 311)",0.5,left,BLA,"c(""BLAv"", ""BLAa"", ""BLAp"")",WT,mPFF,M,pSyn,0.021624324,0.004232723,0.017391601,1.209579324
IM 140,"c(303, 311, 451)",0.5,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,M,pSyn,0.032772722,0.006025639,0.026747083,1.014528838
IM 133,"c(327, 334)",0.5,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,0.005414563,0,0.005414563,0
IM 134,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0.007934799,0,0.007934799,0
IM 135,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0,0,0,0
IM 136,"c(327, 334)",0.5,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,1.86E-05,0,1.86E-05,0
IM 137,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,0.020231293,0.008265927,0.011965366,1.618810708
IM 138,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,0.016693814,0,0.016693814,0
