mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 139,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,0.006999429,0,0.006999429,0
IM 140,"c(334, 327)",0.5,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,0.018964078,0,0.018964078,0
IM 133,916,0.5,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 134,916,0.5,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 135,916,0.5,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 136,916,0.5,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 137,916,0.5,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 138,916,0.5,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 139,916,0.5,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 140,916,0.5,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 133,382,0.5,left,CA1,CA1,WT,mPFF,F,pSyn,0,0,0,0
IM 134,382,0.5,left,CA1,CA1,WT,mPFF,F,pSyn,0.000227324,0,0.000227324,0
IM 135,382,0.5,left,CA1,CA1,WT,mPFF,F,pSyn,0,0,0,0
IM 136,382,0.5,left,CA1,CA1,WT,mPFF,F,pSyn,0,0,0,0
IM 137,382,0.5,left,CA1,CA1,WT,mPFF,M,pSyn,0.000829489,0,0.000829489,0
IM 138,382,0.5,left,CA1,CA1,WT,mPFF,M,pSyn,0.001198647,0,0.001198647,0
IM 139,382,0.5,left,CA1,CA1,WT,mPFF,M,pSyn,0.00178904,0,0.00178904,0
IM 140,382,0.5,left,CA1,CA1,WT,mPFF,M,pSyn,0.000207341,0,0.000207341,0
IM 133,423,0.5,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 134,423,0.5,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 135,423,0.5,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 136,423,0.5,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 137,423,0.5,left,CA2,CA2,WT,mPFF,M,pSyn,0.011250502,0,0.011250502,0
IM 138,423,0.5,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM 139,423,0.5,left,CA2,CA2,WT,mPFF,M,pSyn,0.00511729,0,0.00511729,0
IM 140,423,0.5,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM 133,463,0.5,left,CA3,CA3,WT,mPFF,F,pSyn,0,0,0,0
IM 134,463,0.5,left,CA3,CA3,WT,mPFF,F,pSyn,4.78E-06,0,4.78E-06,0
IM 135,463,0.5,left,CA3,CA3,WT,mPFF,F,pSyn,0,0,0,0
IM 136,463,0.5,left,CA3,CA3,WT,mPFF,F,pSyn,0,0,0,0
IM 137,463,0.5,left,CA3,CA3,WT,mPFF,M,pSyn,0.003967412,0,0.003967412,0
IM 138,463,0.5,left,CA3,CA3,WT,mPFF,M,pSyn,9.45E-06,0,9.45E-06,0
IM 139,463,0.5,left,CA3,CA3,WT,mPFF,M,pSyn,0.006142988,0,0.006142988,0
IM 140,463,0.5,left,CA3,CA3,WT,mPFF,M,pSyn,0.000216208,0,0.000216208,0
IM 133,512,0.5,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 134,512,0.5,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 135,512,0.5,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 136,512,0.5,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 137,512,0.5,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 138,512,0.5,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 139,512,0.5,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 140,512,0.5,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(971, 484682516, 986, 964)",0.5,left,cc,"c(""fp"", ""ccb"", ""ccs"", ""ee"")",WT,mPFF,F,pSyn,0.00279051,0,0.00279051,0
IM 134,"c(484682516, 986, 964, 971)",0.5,left,cc,"c(""ccb"", ""ccs"", ""ee"", ""fp"")",WT,mPFF,F,pSyn,0.004180331,0,0.004180331,0
IM 135,"c(964, 484682516, 971, 986)",0.5,left,cc,"c(""ee"", ""ccb"", ""fp"", ""ccs"")",WT,mPFF,F,pSyn,0.002791895,0,0.002791895,0
IM 136,"c(964, 484682516, 986, 971)",0.5,left,cc,"c(""ee"", ""ccb"", ""ccs"", ""fp"")",WT,mPFF,F,pSyn,0.002325452,0,0.002325452,0
IM 137,"c(986, 484682516, 971, 964)",0.5,left,cc,"c(""ccs"", ""ccb"", ""fp"", ""ee"")",WT,mPFF,M,pSyn,0.004395254,0,0.004395254,0
IM 138,"c(964, 484682516, 986, 971)",0.5,left,cc,"c(""ee"", ""ccb"", ""ccs"", ""fp"")",WT,mPFF,M,pSyn,0.003352582,0,0.003352582,0
IM 139,"c(986, 964, 484682516, 971)",0.5,left,cc,"c(""ccs"", ""ee"", ""ccb"", ""fp"")",WT,mPFF,M,pSyn,0.003237332,0,0.003237332,0
IM 140,"c(964, 484682516, 986, 971)",0.5,left,cc,"c(""ee"", ""ccb"", ""ccs"", ""fp"")",WT,mPFF,M,pSyn,0.001648934,0,0.001648934,0
IM 133,1108,0.5,left,ccg,ccg,WT,mPFF,F,pSyn,0.025060088,0,0.025060088,0
IM 134,1108,0.5,left,ccg,ccg,WT,mPFF,F,pSyn,0.016671877,0,0.016671877,0
IM 135,1108,0.5,left,ccg,ccg,WT,mPFF,F,pSyn,0.001069314,0,0.001069314,0
IM 136,1108,0.5,left,ccg,ccg,WT,mPFF,F,pSyn,0.010527968,0,0.010527968,0
IM 137,1108,0.5,left,ccg,ccg,WT,mPFF,M,pSyn,0.009063666,0,0.009063666,0
IM 138,1108,0.5,left,ccg,ccg,WT,mPFF,M,pSyn,0.021876924,0,0.021876924,0
IM 139,1108,0.5,left,ccg,ccg,WT,mPFF,M,pSyn,0.018997966,0,0.018997966,0
IM 140,1108,0.5,left,ccg,ccg,WT,mPFF,M,pSyn,0.011101809,0,0.011101809,0
IM 133,"c(544, 559, 551)",0.5,left,CEA,"c(""CEAc"", ""CEAm"", ""CEAl"")",WT,mPFF,F,pSyn,0.005298953,0,0.005298953,0
IM 134,"c(544, 559, 551)",0.5,left,CEA,"c(""CEAc"", ""CEAm"", ""CEAl"")",WT,mPFF,F,pSyn,0.001796775,0,0.001796775,0
IM 135,"c(551, 559, 544)",0.5,left,CEA,"c(""CEAl"", ""CEAm"", ""CEAc"")",WT,mPFF,F,pSyn,0.005532692,0,0.005532692,0
IM 136,"c(551, 544, 559)",0.5,left,CEA,"c(""CEAl"", ""CEAc"", ""CEAm"")",WT,mPFF,F,pSyn,0.000541172,0,0.000541172,0
IM 137,"c(544, 551, 559)",0.5,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,0.000777323,0,0.000777323,0
IM 138,"c(544, 559, 551)",0.5,left,CEA,"c(""CEAc"", ""CEAm"", ""CEAl"")",WT,mPFF,M,pSyn,0.003352423,0,0.003352423,0
IM 139,"c(544, 551, 559)",0.5,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,0.003053868,0,0.003053868,0
IM 140,"c(559, 551, 544)",0.5,left,CEA,"c(""CEAm"", ""CEAl"", ""CEAc"")",WT,mPFF,M,pSyn,0.001514585,0,0.001514585,0
IM 133,940,0.5,left,cing,cing,WT,mPFF,F,pSyn,0.004241338,0,0.004241338,0
IM 134,940,0.5,left,cing,cing,WT,mPFF,F,pSyn,0.003141008,0,0.003141008,0
IM 135,940,0.5,left,cing,cing,WT,mPFF,F,pSyn,0.004098073,0,0.004098073,0
IM 136,940,0.5,left,cing,cing,WT,mPFF,F,pSyn,0.001742682,0,0.001742682,0
IM 137,940,0.5,left,cing,cing,WT,mPFF,M,pSyn,0.006675797,0,0.006675797,0
IM 138,940,0.5,left,cing,cing,WT,mPFF,M,pSyn,0.001861475,0,0.001861475,0
IM 139,940,0.5,left,cing,cing,WT,mPFF,M,pSyn,0.004212267,0,0.004212267,0
IM 140,940,0.5,left,cing,cing,WT,mPFF,M,pSyn,0.00326415,0,0.00326415,0
IM 133,575,0.5,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM 134,575,0.5,left,CL,CL,WT,mPFF,F,pSyn,0.000239926,0,0.000239926,0
IM 135,575,0.5,left,CL,CL,WT,mPFF,F,pSyn,0.002842085,0,0.002842085,0
IM 136,575,0.5,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM 137,575,0.5,left,CL,CL,WT,mPFF,M,pSyn,0.000331736,0,0.000331736,0
IM 138,575,0.5,left,CL,CL,WT,mPFF,M,pSyn,0.000129397,0,0.000129397,0
IM 139,575,0.5,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM 140,575,0.5,left,CL,CL,WT,mPFF,M,pSyn,0.000739833,0,0.000739833,0
IM 133,583,0.5,left,CLA,CLA,WT,mPFF,F,pSyn,0.003010917,0,0.003010917,0
IM 134,583,0.5,left,CLA,CLA,WT,mPFF,F,pSyn,0.002520071,0,0.002520071,0
IM 135,583,0.5,left,CLA,CLA,WT,mPFF,F,pSyn,0.00484013,0,0.00484013,0
IM 136,583,0.5,left,CLA,CLA,WT,mPFF,F,pSyn,0.013644673,0,0.013644673,0
IM 137,583,0.5,left,CLA,CLA,WT,mPFF,M,pSyn,0.008547463,0,0.008547463,0
IM 138,583,0.5,left,CLA,CLA,WT,mPFF,M,pSyn,0.010180942,0,0.010180942,0
IM 139,583,0.5,left,CLA,CLA,WT,mPFF,M,pSyn,0.004205648,0,0.004205648,0
IM 140,583,0.5,left,CLA,CLA,WT,mPFF,M,pSyn,0.004611184,0,0.004611184,0
IM 135,591,0.5,left,CLI,CLI,WT,mPFF,F,pSyn,0,0,0,0
IM 136,591,0.5,left,CLI,CLI,WT,mPFF,F,pSyn,0,0,0,0
IM 133,599,0.5,left,CM,CM,WT,mPFF,F,pSyn,0.002758441,0,0.002758441,0
IM 134,599,0.5,left,CM,CM,WT,mPFF,F,pSyn,0.001218494,0,0.001218494,0
IM 135,599,0.5,left,CM,CM,WT,mPFF,F,pSyn,0,0,0,0
IM 136,599,0.5,left,CM,CM,WT,mPFF,F,pSyn,0.000113888,0,0.000113888,0
IM 137,599,0.5,left,CM,CM,WT,mPFF,M,pSyn,0.001156937,0,0.001156937,0
IM 138,599,0.5,left,CM,CM,WT,mPFF,M,pSyn,0,0,0,0
IM 139,599,0.5,left,CM,CM,WT,mPFF,M,pSyn,0.000417271,0,0.000417271,0
IM 140,599,0.5,left,CM,CM,WT,mPFF,M,pSyn,0.00334377,0,0.00334377,0
IM 133,639,0.5,left,COA,COAa,WT,mPFF,F,pSyn,0.000830792,0,0.000830792,0
IM 134,639,0.5,left,COA,COAa,WT,mPFF,F,pSyn,0.000835539,0,0.000835539,0
IM 135,639,0.5,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM 136,639,0.5,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM 137,639,0.5,left,COA,COAa,WT,mPFF,M,pSyn,0.008714825,0,0.008714825,0
IM 138,639,0.5,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 139,639,0.5,left,COA,COAa,WT,mPFF,M,pSyn,0.000173571,0,0.000173571,0
IM 140,639,0.5,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(663, 655)",0.5,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0.00028616,0,0.00028616,0
IM 135,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0.000396852,0,0.000396852,0
IM 136,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,4.66E-05,0,4.66E-05,0
IM 137,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,2.71E-05,0,2.71E-05,0
IM 138,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,9.20E-05,0,9.20E-05,0
IM 139,"c(663, 655)",0.5,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,M,pSyn,0,0,0,0
IM 140,"c(655, 663)",0.5,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,4.08E-05,0,4.08E-05,0
IM 133,672,0.5,left,CP,CP,WT,mPFF,F,pSyn,0.011505974,0,0.011505974,0
IM 134,672,0.5,left,CP,CP,WT,mPFF,F,pSyn,0.004050644,0,0.004050644,0
IM 135,672,0.5,left,CP,CP,WT,mPFF,F,pSyn,0.002285169,0,0.002285169,0
IM 136,672,0.5,left,CP,CP,WT,mPFF,F,pSyn,0.005733644,0,0.005733644,0
IM 137,672,0.5,left,CP,CP,WT,mPFF,M,pSyn,0.007434987,0,0.007434987,0
IM 138,672,0.5,left,CP,CP,WT,mPFF,M,pSyn,0.008599625,0,0.008599625,0
IM 139,672,0.5,left,CP,CP,WT,mPFF,M,pSyn,0.005919852,0,0.005919852,0
IM 140,672,0.5,left,CP,CP,WT,mPFF,M,pSyn,0.007723554,0.000547566,0.007175988,0.242127764
IM 133,924,0.5,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 134,924,0.5,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 135,924,0.5,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 136,924,0.5,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 137,924,0.5,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 138,924,0.5,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 139,924,0.5,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 140,924,0.5,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 133,679,0.5,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 134,679,0.5,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 135,679,0.5,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 136,679,0.5,left,CS,CS,WT,mPFF,F,pSyn,4.34E-05,0,4.34E-05,0
IM 137,679,0.5,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 138,679,0.5,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 139,679,0.5,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 140,679,0.5,left,CS,CS,WT,mPFF,M,pSyn,5.33E-05,0,5.33E-05,0
IM 133,336,0.5,left,csc,csc,WT,mPFF,F,pSyn,0.007756331,0,0.007756331,0
IM 134,336,0.5,left,csc,csc,WT,mPFF,F,pSyn,0,0,0,0
IM 135,336,0.5,left,csc,csc,WT,mPFF,F,pSyn,0,0,0,0
IM 138,336,0.5,left,csc,csc,WT,mPFF,M,pSyn,0,0,0,0
IM 133,784,0.5,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 134,784,0.5,left,cst,cst,WT,mPFF,F,pSyn,0.003310555,0,0.003310555,0
IM 135,784,0.5,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 136,784,0.5,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 137,784,0.5,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 138,784,0.5,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 139,784,0.5,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 140,784,0.5,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 133,703,0.5,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0,0,0,0
IM 134,703,0.5,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.006731446,0,0.006731446,0
IM 135,703,0.5,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.001926761,0,0.001926761,0
IM 136,703,0.5,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.002478494,0,0.002478494,0
IM 137,703,0.5,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.021172281,0,0.021172281,0
IM 138,703,0.5,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0,0,0,0
IM 139,703,0.5,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.000121697,0,0.000121697,0
IM 140,703,0.5,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.008680749,0,0.008680749,0
IM 137,616,0.5,left,CUN,CUN,WT,mPFF,M,pSyn,0,0,0,0
IM 138,616,0.5,left,CUN,CUN,WT,mPFF,M,pSyn,0,0,0,0
IM 139,616,0.5,left,CUN,CUN,WT,mPFF,M,pSyn,0,0,0,0
IM 140,616,0.5,left,CUN,CUN,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(10703, 10704, 632)",0.5,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(10703, 632, 10704)",0.5,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,F,pSyn,0,0,0,0
IM 135,"c(10703, 632, 10704)",0.5,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,F,pSyn,0,0,0,0
IM 136,"c(10704, 632, 10703)",0.5,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,F,pSyn,0,0,0,0
IM 137,"c(632, 10703, 10704)",0.5,left,DG,"c(""DG-sg"", ""DG-mo"", ""DG-po"")",WT,mPFF,M,pSyn,0,0,0,0
IM 138,"c(10703, 632, 10704)",0.5,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,M,pSyn,0,0,0,0
IM 139,"c(10704, 10703, 632)",0.5,left,DG,"c(""DG-po"", ""DG-mo"", ""DG-sg"")",WT,mPFF,M,pSyn,0,0,0,0
IM 140,"c(10704, 632, 10703)",0.5,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,M,pSyn,2.56E-05,0,2.56E-05,0
IM 133,443,0.5,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM 134,443,0.5,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM 135,443,0.5,left,dhc,dhc,WT,mPFF,F,pSyn,0.002278355,0,0.002278355,0
IM 136,443,0.5,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM 137,443,0.5,left,dhc,dhc,WT,mPFF,M,pSyn,4.61E-05,0,4.61E-05,0
IM 138,443,0.5,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM 139,443,0.5,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM 140,443,0.5,left,dhc,dhc,WT,mPFF,M,pSyn,0.002542391,0,0.002542391,0
IM 133,830,0.5,left,DMH,DMH,WT,mPFF,F,pSyn,0.000399485,0,0.000399485,0
IM 134,830,0.5,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 135,830,0.5,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 136,830,0.5,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 137,830,0.5,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 138,830,0.5,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 139,830,0.5,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 140,830,0.5,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 134,814,0.5,left,DP,DP,WT,mPFF,F,pSyn,0.000399471,0,0.000399471,0
IM 135,814,0.5,left,DP,DP,WT,mPFF,F,pSyn,0.0195767,0,0.0195767,0
IM 136,814,0.5,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM 137,814,0.5,left,DP,DP,WT,mPFF,M,pSyn,0.004219104,0,0.004219104,0
IM 133,872,0.5,left,DR,DR,WT,mPFF,F,pSyn,0.003177047,0,0.003177047,0
IM 134,872,0.5,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 135,872,0.5,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 136,872,0.5,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 137,872,0.5,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 138,872,0.5,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 139,872,0.5,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 140,872,0.5,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 133,812,0.5,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 134,812,0.5,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 135,812,0.5,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 136,812,0.5,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 139,812,0.5,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 140,812,0.5,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 133,579,0.5,left,ec,ec,WT,mPFF,F,pSyn,0.007410064,0,0.007410064,0
IM 134,579,0.5,left,ec,ec,WT,mPFF,F,pSyn,0.010570135,0,0.010570135,0
IM 135,579,0.5,left,ec,ec,WT,mPFF,F,pSyn,0.003773056,0,0.003773056,0
IM 136,579,0.5,left,ec,ec,WT,mPFF,F,pSyn,0.004862866,0,0.004862866,0
IM 137,579,0.5,left,ec,ec,WT,mPFF,M,pSyn,0.005781015,0,0.005781015,0
IM 138,579,0.5,left,ec,ec,WT,mPFF,M,pSyn,0.021545325,0,0.021545325,0
IM 139,579,0.5,left,ec,ec,WT,mPFF,M,pSyn,0.015069775,0,0.015069775,0
IM 140,579,0.5,left,ec,ec,WT,mPFF,M,pSyn,0.015427594,0,0.015427594,0
IM 133,"c(988, 427, 836, 977, 1045)",0.5,left,ECT,"c(""ECT5"", ""ECT2/3"", ""ECT1"", ""ECT6a"", ""ECT6b"")",WT,mPFF,F,pSyn,0.016716835,0,0.016716835,0
IM 134,"c(1045, 427, 836, 988, 977)",0.5,left,ECT,"c(""ECT6b"", ""ECT2/3"", ""ECT1"", ""ECT5"", ""ECT6a"")",WT,mPFF,F,pSyn,0.019706018,0,0.019706018,0
IM 135,"c(427, 1045, 836, 988, 977)",0.5,left,ECT,"c(""ECT2/3"", ""ECT6b"", ""ECT1"", ""ECT5"", ""ECT6a"")",WT,mPFF,F,pSyn,0.020385939,0,0.020385939,0
IM 136,"c(1045, 977, 988, 427, 836)",0.5,left,ECT,"c(""ECT6b"", ""ECT6a"", ""ECT5"", ""ECT2/3"", ""ECT1"")",WT,mPFF,F,pSyn,0.006157319,0.002451783,0.003705536,2.340783064
IM 137,"c(836, 988, 427, 1045, 977)",0.5,left,ECT,"c(""ECT1"", ""ECT5"", ""ECT2/3"", ""ECT6b"", ""ECT6a"")",WT,mPFF,M,pSyn,0.011620034,0,0.011620034,0
IM 138,"c(977, 1045, 988, 836, 427)",0.5,left,ECT,"c(""ECT6a"", ""ECT6b"", ""ECT5"", ""ECT1"", ""ECT2/3"")",WT,mPFF,M,pSyn,0.045786699,0,0.045786699,0
IM 139,"c(988, 1045, 977, 836, 427)",0.5,left,ECT,"c(""ECT5"", ""ECT6b"", ""ECT6a"", ""ECT1"", ""ECT2/3"")",WT,mPFF,M,pSyn,0.023543766,0.005429622,0.018114144,1.94116989
IM 140,"c(977, 836, 1045, 988, 427)",0.5,left,ECT,"c(""ECT6a"", ""ECT1"", ""ECT6b"", ""ECT5"", ""ECT2/3"")",WT,mPFF,M,pSyn,0.013038504,0.007403418,0.005635086,3.961817446
IM 133,1092,0.5,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 134,1092,0.5,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 135,1092,0.5,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 136,1092,0.5,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 137,1092,0.5,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 138,1092,0.5,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 139,1092,0.5,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 140,1092,0.5,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(52, 28, 20, 139, 1121)",0.5,left,ENTl,"c(""ENTl3"", ""ENTl6a"", ""ENTl2"", ""ENTl5"", ""ENTl1"")",WT,mPFF,F,pSyn,0.003385167,0,0.003385167,0
IM 134,"c(139, 20, 1121, 52, 28)",0.5,left,ENTl,"c(""ENTl5"", ""ENTl2"", ""ENTl1"", ""ENTl3"", ""ENTl6a"")",WT,mPFF,F,pSyn,0.002447331,0,0.002447331,0
IM 135,"c(1121, 20, 52, 28, 139)",0.5,left,ENTl,"c(""ENTl1"", ""ENTl2"", ""ENTl3"", ""ENTl6a"", ""ENTl5"")",WT,mPFF,F,pSyn,0.00348051,0,0.00348051,0
IM 136,"c(1121, 28, 139, 20, 52)",0.5,left,ENTl,"c(""ENTl1"", ""ENTl6a"", ""ENTl5"", ""ENTl2"", ""ENTl3"")",WT,mPFF,F,pSyn,0.000964354,0,0.000964354,0
IM 137,"c(139, 20, 52, 28, 1121)",0.5,left,ENTl,"c(""ENTl5"", ""ENTl2"", ""ENTl3"", ""ENTl6a"", ""ENTl1"")",WT,mPFF,M,pSyn,0.003780241,0,0.003780241,0
IM 138,"c(139, 20, 52, 28, 1121)",0.5,left,ENTl,"c(""ENTl5"", ""ENTl2"", ""ENTl3"", ""ENTl6a"", ""ENTl1"")",WT,mPFF,M,pSyn,0.002230329,0,0.002230329,0
IM 139,"c(1121, 20, 139, 52, 28)",0.5,left,ENTl,"c(""ENTl1"", ""ENTl2"", ""ENTl5"", ""ENTl3"", ""ENTl6a"")",WT,mPFF,M,pSyn,0.003732409,0,0.003732409,0
IM 140,"c(52, 1121, 20, 139, 28)",0.5,left,ENTl,"c(""ENTl3"", ""ENTl1"", ""ENTl2"", ""ENTl5"", ""ENTl6a"")",WT,mPFF,M,pSyn,0.001945293,0,0.001945293,0
IM 133,"c(743, 727, 526, 543, 664)",0.5,left,ENTm,"c(""ENTm6"", ""ENTm5"", ""ENTm1"", ""ENTm2"", ""ENTm3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(743, 543, 664, 727, 526)",0.5,left,ENTm,"c(""ENTm6"", ""ENTm2"", ""ENTm3"", ""ENTm5"", ""ENTm1"")",WT,mPFF,F,pSyn,2.66E-05,0,2.66E-05,0
IM 135,"c(526, 664, 727, 743, 543)",0.5,left,ENTm,"c(""ENTm1"", ""ENTm3"", ""ENTm5"", ""ENTm6"", ""ENTm2"")",WT,mPFF,F,pSyn,9.24E-05,0,9.24E-05,0
IM 136,"c(526, 664, 727, 743, 543)",0.5,left,ENTm,"c(""ENTm1"", ""ENTm3"", ""ENTm5"", ""ENTm6"", ""ENTm2"")",WT,mPFF,F,pSyn,0.000193912,0,0.000193912,0
