,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
85,IM 341,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,164347.0099,5.215761807
86,IM 331,916,0.2,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,50993.28884,4.707513023
87,IM 334,916,0.2,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,50158.11257,4.700341186
88,IM 338,916,0.2,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,42297.90712,4.626318879
89,IM 331,382,0.2,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1384797.297,6.141386207
90,IM 334,382,0.2,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1196196.753,6.077802619
91,IM 338,382,0.2,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1371501.607,6.137196321
92,IM 341,382,0.2,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,819468.2282,5.91353212
93,IM 331,423,0.2,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,74836.83967,4.874115439
94,IM 334,423,0.2,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,67257.45948,4.827740459
95,IM 338,423,0.2,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,77362.89045,4.888532688
96,IM 341,423,0.2,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,43173.30789,4.635215325
97,IM 331,463,0.2,left,CA3,CA3,WT,mPFF,M,pSyn,463,None,823116.2101,5.915461155
98,IM 334,463,0.2,left,CA3,CA3,WT,mPFF,F,pSyn,463,None,785384.1229,5.895082117
99,IM 338,463,0.2,left,CA3,CA3,WT,mPFF,M,pSyn,463,None,875301.2945,5.942157571
100,IM 341,463,0.2,left,CA3,CA3,WT,mPFF,F,pSyn,463,None,483317.83,5.684232817
101,IM 331,512,0.2,left,CB,CB,WT,mPFF,M,pSyn,512,None,25459.74495,4.405854049
102,IM 334,512,0.2,left,CB,CB,WT,mPFF,F,pSyn,512,None,22141.97808,4.345216417
103,IM 338,512,0.2,left,CB,CB,WT,mPFF,M,pSyn,512,None,25136.02909,4.40029667
104,IM 341,512,0.2,left,CB,CB,WT,mPFF,F,pSyn,512,None,29871.13834,4.475251773
105,IM 331,"c(484682516, 964, 986, 971)",0.2,left,cc,"c(""ccb"", ""ee"", ""ccs"", ""fp"")",WT,mPFF,M,pSyn,"c(484682516, 964, 986, 971)",None,185777.274,5.268992586
